run,Controller,duration_h,CO2_total_gh,heat_total_kW
CF,Chamber 4,0.03333333333333333,0.8819832187872745,0.00249570803278798
CF,Chamber 4,0.06666666666666667,0.8018012800051608,0.00226882082627379
CF,Chamber 4,0.1,0.7005178012243546,0.00198222354619228
CF,Chamber 4,0.13333333333333333,0.6243642470974496,0.00176673527758191
CF,Chamber 4,0.16666666666666666,0.6104639917979449,0.00172740235370103
CF,Chamber 4,0.2,0.6378874140445958,0.00180500117160327
CF,Chamber 4,0.23333333333333336,0.6872813905337789,0.00194476907338364
CF,Chamber 4,0.26666666666666666,0.712964376064889,0.00201744305621077
CF,Chamber 4,0.3,0.7424348447398387,0.00210083430882806
CF,Chamber 4,0.3333333333333333,0.7732081181356891,0.00218791204905401
CF,Chamber 4,0.36666666666666664,0.8079227333046272,0.00228614242587613
CF,Chamber 4,0.4,0.8399378228690069,0.00237673407716187
CF,Chamber 4,0.43333333333333335,0.8872195410092409,0.00251052501700407
CF,Chamber 4,0.4666666666666667,0.6882496815670573,0.00194750900273643
CF,Chamber 4,0.5,0.9029849330552808,0.00255513563399909
CF,Chamber 4,0.5333333333333333,0.8931363453196963,0.002527267530616
CF,Chamber 4,0.5666666666666667,0.8807081207942089,0.00249209994565424
CF,Chamber 4,0.6,0.8857790333565996,0.0025064488776361
CF,Chamber 4,0.6333333333333333,0.91458925666167,0.00258797186378514
CF,Chamber 4,0.6666666666666666,0.9290706516724268,0.00262894921242905
CF,Chamber 4,0.7,0.9311004817432564,0.00263469293079585
CF,Chamber 4,0.7333333333333333,0.8368705209140751,0.0023680546715169
CF,Chamber 4,0.7666666666666667,0.8825280661502246,0.00249724976273408
CF,Chamber 4,0.8,0.8513170084916165,0.00240893324417548
CF,Chamber 4,0.8333333333333334,0.8224393158661873,0.00232721934314144
CF,Chamber 4,0.8666666666666667,0.8067705357232705,0.0022828821044801
CF,Chamber 4,0.9,0.8141026649505709,0.00230362949901123
CF,Chamber 4,0.9333333333333332,0.8295898588748873,0.00234745291136074
CF,Chamber 4,0.9666666666666668,0.8636234416301685,0.00244375620155678
CF,Chamber 4,1,0.8727096560626338,0.00246946705167694
CF,Chamber 4,1.0333333333333334,0.8817529240220277,0.0024950563781042
CF,Chamber 4,1.0666666666666669,0.89534899008798,0.0025335285514657
CF,Chamber 4,1.1,0.9439422210174114,0.00267103061974366
CF,Chamber 4,1.1333333333333333,0.7801426554759869,0.00220753439580075
CF,Chamber 4,1.1666666666666667,0.606152544618608,0.00171520244657217
CF,Chamber 4,1.2,0.776930006705054,0.00219844370884282
CF,Chamber 4,1.2333333333333334,0.8931152881840124,0.00252720794619132
CF,Chamber 4,1.2666666666666666,0.88063525693233,0.00249189376607903
CF,Chamber 4,1.3,0.8762721858188152,0.00247954778103796
CF,Chamber 4,1.3333333333333333,0.9345854390863684,0.00264455415700726
CF,Chamber 4,1.3666666666666667,0.9992978062191772,0.0028276678161267
CF,Chamber 4,1.4,1.1761738707131533,0.00332816601786404
CF,Chamber 4,1.4333333333333331,0.979980972687628,0.0027730078457488
CF,Chamber 4,1.4666666666666666,0.8764789746272854,0.00248013292197873
CF,Chamber 4,1.5,0.7933260641451857,0.00224483889118615
CF,Chamber 4,1.5333333333333334,0.7100099353499381,0.00200908300891323
CF,Chamber 4,1.5666666666666669,0.6695620987611435,0.00189462959468348
CF,Chamber 4,1.6,0.7406027825064979,0.00209565020516835
CF,Chamber 4,1.6333333333333333,0.870898877018065,0.00246434317209412
CF,Chamber 4,1.6666666666666667,1.0086887619934437,0.002854240979042
CF,Chamber 4,1.7,1.135972347351109,0.00321440958503426
CF,Chamber 4,1.7333333333333334,1.1526271885487895,0.00326153703607467
CF,Chamber 4,1.7666666666666666,1.002631748870899,0.00283710172289445
CF,Chamber 4,1.8,0.7021208231660854,0.00198675954489554
CF,Chamber 4,1.8333333333333333,0.7200159389736799,0.00203739654491703
CF,Chamber 4,1.8666666666666667,0.9327364763648692,0.00263932223080042
CF,Chamber 4,1.9,1.0887234560256964,0.0030807115337456
CF,Chamber 4,1.9333333333333331,0.9632164328546048,0.0027255699854403
CF,Chamber 4,1.9666666666666663,0.96410196949342,0.00272807574842507
CF,Chamber 4,2,0.9610763996507352,0.00271951443025109
CF,Chamber 4,2.033333333333333,0.9591930701090916,0.00271418525780727
CF,Chamber 4,2.066666666666667,0.9176714701564868,0.00259669346394025
CF,Chamber 4,2.1,0.8523078574118589,0.002411737004561
CF,Chamber 4,2.1333333333333333,0.5640243472566266,0.00159599419144489
CF,Chamber 4,2.1666666666666665,0.8932686746464439,0.00252764197692825
CF,Chamber 4,2.2,0.8904796099679854,0.00251974988672321
CF,Chamber 4,2.2333333333333334,0.9333070441481788,0.00264093674065698
CF,Chamber 4,2.2666666666666666,1.020031089940988,0.0028863358515591
CF,Chamber 4,2.3,1.2058933949354436,0.00341226201170187
CF,Chamber 4,2.3333333333333335,1.1630394200937002,0.00329100005685823
CF,Chamber 4,2.3666666666666667,1.1139875571481983,0.00315220021830276
CF,Chamber 4,2.4,1.0532028055478897,0.00298020035525718
CF,Chamber 4,2.433333333333333,1.0999435875239258,0.00311246063249554
CF,Chamber 4,2.466666666666667,1.0016790952073724,0.00283440604189975
CF,Chamber 4,2.5,0.955353815460871,0.00270332149253217
CF,Chamber 4,2.533333333333333,0.8720436213677086,0.00246758240341739
CF,Chamber 4,2.566666666666667,0.7564609829401214,0.00214052343786112
